Key,ShortKey,Source,Row,Module,Field,Character,CN,EN,,,,,,,,,,,
AvgDialog_22130_Content_3,aibH,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,玩家,好了，奥尔拉，旁边的旅客们都走了。,A painting like you have never seen before unfolds before your eyes.,,,,,,,,,,,
AvgDialog_22130_Content_11,aibk,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,18,AvgDialog,Content,无纸奥尔拉,我总觉得，他身上有一种非常神秘的气质……谁知道呢？,I always felt there was something very mysterious about him... Who knows?,,,,,,,,,,,
AvgDialog_22130_Content_17,aibt,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,24,AvgDialog,Content,无纸奥尔拉,啊！守密人%sirormadam%，您看！是塞涅尔河！,"Ah! {Male=Sir,Female=Madam} Keeper, look! It's the Szenyér river!",,,,,,,,,,,
AvgDialog_22130_Content_23,aibA,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,30,AvgDialog,Content,汉娜,你不是有个什么读诗会嘛~据我的线人透露，奥尔拉好像经常出席你们的活动。,"Don't you have a poetry club or something? According to my informant, Horla seems to frequently attend your events.",,,,,,,,,,,
AvgDialog_22130_Content_24,aibB,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,31,AvgDialog,Content,汉娜,你和她关系这么近，一定知道她在哪吧？！,"Horla, did you disable your shroud?",,,,,,,,,,,
AvgDialog_22130_Content_27,aibE,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,34,AvgDialog,Content,宁菲亚,如果你那里有的话，我会很愿意花大价钱买下来的。,"If you have it, I'd be willing to pay a high price for it.",,,,,,,,,,,
AvgDialog_22130_Content_29,aibG,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,36,AvgDialog,Content,汉娜,最近的校报没有什么话题度，奥尔拉从来都不喜欢被采访，连自己的诗集也不愿意刊登。,You turn around.,,,,,,,,,,,
AvgDialog_22130_Content_30,aibI,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,37,AvgDialog,Content,汉娜,要是能刊登她的诗集，甚至对她做一次专访，这个月的校刊销售量肯定会涨一倍的！,"The cruise ship collides with the shore buffer, producing a dull thud.",,,,,,,,,,,
AvgDialog_22130_Content_31,aibJ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,38,AvgDialog,Content,汉娜,标题我都想好了，就叫《花园与春天——少女诗人奥尔拉不为人知的往事》……,"You and Horla stare in bewilderment, seemingly forgetting how to walk.",,,,,,,,,,,
AvgDialog_22130_Content_32,aibK,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,39,AvgDialog,Content,朵尔,……据统计，目前的目击案例已经达到两位数。,I always felt there was something very mysterious about him... Who knows?,,,,,,,,,,,
AvgDialog_22130_Content_40,aibT,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,47,AvgDialog,Content,朵尔,我们尚未遭遇过类似事件。是否是受融蚀影响，目前也还无法判断。,"Ah! {Male=Sir,Female=Madam} Keeper, look! It's the Szenyér river!",,,,,,,,,,,
AvgDialog_22130_Content_47,aica,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,54,AvgDialog,Content,玩家,奥尔拉，如果你是在躲什么人的话……你忘了关门了。,Do you miss the sights of Cité?,,,,,,,,,,,
AvgDialog_22130_Content_48,aicb,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,55,AvgDialog,Content,奥尔拉,啊！对、对不起！给你们添麻烦了……守密人%sirormadam%！朵尔小姐！,"Ah! I'm so sorry! I've caused you trouble... {Male=Sir,Female=Madam} Keeper! Miss Doll!",,,,,,,,,,,
AvgDialog_22130_Content_49,aicc,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,56,AvgDialog,Content,,她跑出来将办公室的门关上，又迅速跑回窗帘后藏了起来。,"She hurriedly closed the office door, and quickly hid behind the curtains.",,,,,,,,,,,
AvgDialog_22130_Content_51,aicf,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,58,AvgDialog,Content,汉娜,快出来，亲爱的奥尔拉！我们只需要做一个小小的专访就好了~我保证不会把你怎么样的！,"Come out, dear Horla! We just need a short interview~ It won't hurt, I promise!",,,,,,,,,,,
AvgDialog_22130_Content_53,aich,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,60,AvgDialog,Content,朵尔,终于开始欺负奥尔拉了吗……看来最近校刊的销量压力的确很大。,"When the fire broke out, I couldn't escape, so I buried my poetry collection in the garden. This time, I intend to find it.",,,,,,,,,,,
AvgDialog_22130_Content_57,aicl,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,64,AvgDialog,Content,,想起奥尔拉所经历的往事，你明白了她的意思，点了点头。,"As for the poem... I can't say, {Male=Sir,Female=Madam} Keeper.",,,,,,,,,,,
AvgDialog_22130_Content_58,aicm,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,65,AvgDialog,Content,奥尔拉,我还是应该住在外面，不应该在学校这样人多的地方……,"I should be outside, not in a crowded place like the school...",,,,,,,,,,,
AvgDialog_22130_Content_59,aicn,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,66,AvgDialog,Content,奥尔拉,守密人%sirormadam%，能请您帮我想想办法吗？,"{Male=Sir,Female=Madam} Keeper, can I ask for your help with a solution?",,,,,,,,,,,
AvgDialog_22130_Content_60,aicp,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,67,AvgDialog,Content,玩家,说实话，面对那只雪貂的嗅觉跟行动力，我也没有什么太好的办法。,"To be honest, I don't have any good solutions for dealing with that ferret's agility and sense of smell.",,,,,,,,,,,
AvgDialog_22130_Content_61,aicq,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,68,AvgDialog,Content,玩家,——不过，如果你愿意出门的话，倒是有个办法可以帮你。,"—However, if you'd prefer to be outdoors, there is a way I can help you.",,,,,,,,,,,
AvgDialog_22130_Content_63,aics,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,70,AvgDialog,Content,奥尔拉,是去哪里呢？,Where would we go?,,,,,,,,,,,
AvgDialog_22130_Content_69,aicy,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,76,AvgDialog,Content,无纸奥尔拉,虽然已经过了很多年，但我一闻到就能想起来。,You've never witnessed a butterfly speak. You gently pulled Horla back.,,,,,,,,,,,
AvgDialog_22130_Content_70,aicA,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,77,AvgDialog,Content,玩家,西岱的这些风景，你会很想念吗？,Do you miss the sights of Cité?,,,,,,,,,,,
AvgDialog_22130_Content_71,aicB,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,78,AvgDialog,Content,无纸奥尔拉,很想念！不过，我一直是生活在花房里。西岱的这些地方，我大都没有真正见过。,"Ah! I'm so sorry! I've caused you trouble... {Male=Sir,Female=Madam} Keeper! Miss Doll!",,,,,,,,,,,
AvgDialog_22130_Content_72,aicC,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,79,AvgDialog,Content,无纸奥尔拉,我在诗里写了很多西岱的风景，不过那些毕竟是假的……这次如果有机会的话，我想去看一看那些地方。,"She hurriedly closed the office door, and quickly hid behind the curtains.",,,,,,,,,,,
AvgDialog_22130_Content_75,aicF,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,82,AvgDialog,Content,无纸奥尔拉,每次到了玫瑰盛开的季节，那座花园都开满了玫瑰花，就像是住在梦境里一样！,"Come out, dear Horla! We just need a short interview~ It won't hurt, I promise!",,,,,,,,,,,
AvgDialog_22130_Content_77,aicH,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,84,AvgDialog,Content,无纸奥尔拉,大火燃起来的时候，我看没办法跑出去，就把我写的那本诗集埋在了花园的土地里。这次回来，我想去找到它。,"When the fire broke out, I couldn't escape, so I buried my poetry collection in the garden. This time, I intend to find it.",,,,,,,,,,,
AvgDialog_22130_Content_80,aicL,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,87,AvgDialog,Content,无纸奥尔拉,至于诗集……我说不上来，守密人%sirormadam%。,"As for the poem... I can't say, {Male=Sir,Female=Madam} Keeper.",,,,,,,,,,,
AvgDialog_22130_Content_81,aicM,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,88,AvgDialog,Content,无纸奥尔拉,它给身边的人带来了很多的痛苦，我不喜欢这一点，可是……它也是我最珍贵的东西。,"I should be outside, not in a crowded place like the school...",,,,,,,,,,,
AvgDialog_22130_Content_82,aicN,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,89,AvgDialog,Content,无纸奥尔拉,不管是想保存，还是想毁掉，我都想找到它。,"{Male=Sir,Female=Madam} Keeper, can I ask for your help with a solution?",,,,,,,,,,,
AvgDialog_22130_Content_84,aicP,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,91,AvgDialog,Content,,一只黑色的蝴蝶翩翩而至，停留在奥尔拉伸出的指尖。,"To be honest, I don't have any good solutions for dealing with that ferret's agility and sense of smell.",,,,,,,,,,,
AvgDialog_22130_Content_85,aicQ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,92,AvgDialog,Content,无纸奥尔拉,您看，守密人%sirormadam%，一只蝴蝶诶！,"—However, if you'd prefer to be outdoors, there is a way I can help you.",,,,,,,,,,,
AvgDialog_22130_Content_87,aicS,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,94,AvgDialog,Content,无纸奥尔拉,在西岱人眼里，一个像花一样的生命，总是能交到好运的~,Where would we go?,,,,,,,,,,,
AvgDialog_22130_Content_92,aicY,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,99,AvgDialog,Content,,你从未见过这种人形的蝴蝶。你伸手将奥尔拉稍稍向后拉开。,You've never witnessed a butterfly speak. You gently pulled Horla back.,,,,,,,,,,,
AvgDialog_22130_Content_94,aida,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,101,AvgDialog,Content,无纸奥尔拉,蝴蝶夫人，很抱歉，我、我不是很擅长和别人聊天……,"Mrs. Butterfly, sorry... I-I'm not very good at small talk...",,,,,,,,,,,
AvgDialog_22130_Content_96,aidc,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,103,AvgDialog,Content,,纯黑色的人形蝴蝶扇动翅膀，摇曳着离开了游轮。你警惕地望了望身周。塞涅尔河仍然静静流淌。,The pitch-black humanoid butterfly flapped its wings and swayed to and fro as it left the cruise ship. You looked around cautiously. The Szenyér River still flowed quietly.,,,,,,,,,,,
AvgDialog_22130_Content_97,aidd,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,104,AvgDialog,Content,贵妇？,化成蝴蝶的人类……很美的意象，对吧？,"Humans becoming butterflies... a beautiful image, isn't it?",,,,,,,,,,,
AvgDialog_22130_Content_100,aiba,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,107,AvgDialog,Content,无纸奥尔拉,您、您好……这位夫人……,"Don't you have a poetry club or something? According to my informant, Horla seems to frequently attend your events.",,,,,,,,,,,
AvgDialog_22130_Content_101,aibb,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,108,AvgDialog,Content,玩家,奥尔拉，你切断了隐形的能力吗？,"Horla, did you disable your shroud?",,,,,,,,,,,
AvgDialog_22130_Content_104,aibe,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,111,AvgDialog,Content,玩家,新的西岱……,"If you have it, I'd be willing to pay a high price for it.",,,,,,,,,,,
AvgDialog_22130_Content_106,aibg,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,113,AvgDialog,Content,,你回过头。,You turn around.,,,,,,,,,,,
AvgDialog_22130_Content_107,aibh,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,114,AvgDialog,Content,,一幅你从未见过的画卷，展开在你眼前。,A painting like you have never seen before unfolds before your eyes.,,,,,,,,,,,
AvgDialog_22130_Content_108,aibi,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,115,AvgDialog,Content,,游轮碰撞在沿岸的缓冲装置上，发出沉闷的声响。,"The cruise ship collides with the shore buffer, producing a dull thud.",,,,,,,,,,,
AvgDialog_22130_Content_109,aibj,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,116,AvgDialog,Content,,你和奥尔拉愣愣地望着眼前这一幕，似乎忘了应该如何走路。,"You and Horla stare in bewilderment, seemingly forgetting how to walk.",,,,,,,,,,,
AvgDialog_22127_Content_6,ahYq,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,125,AvgDialog,Content,,你走过若隐若现的街道，抚摸建筑上晕染的砖石，摘下彩墨般的梧桐叶。,"{Male=Sir,Female=Madam} Keeper... Mr. Bee, has he passed away?",,,,,,,,,,,
AvgDialog_22127_Content_8,ahYM,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,127,AvgDialog,Content,无纸奥尔拉,守密人%sirormadam%，您看这个房子，上面好像漂浮着一些线条？,"{Male=Sir,Female=Madam} Keeper, look at this house, does it seem like there are some lines floating on it?",,,,,,,,,,,
AvgDialog_22127_Content_14,ahXs,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,133,AvgDialog,Content,无纸奥尔拉,不会啊，虽然我已经忘了西岱是什么样子了，不过我觉得，西岱就应该长这个样子才对。,"Turning off the Silver communicator, you vigilantly scan your surroundings.",,,,,,,,,,,
AvgDialog_22127_Content_20,ahXz,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,139,AvgDialog,Content,贵妇,啊，我车快到了……不能继续陪你们。,"Ah, my ride is almost here... I'm afraid I can't stay with you any longer.",,,,,,,,,,,
AvgDialog_22127_Content_21,ahXA,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,140,AvgDialog,Content,贵妇,没想到你们会来，没有准备什么礼物……这个送给你，希望你不会嫌弃。,It's not costly; each rider just needs to write a simple sentence.,,,,,,,,,,,
AvgDialog_22127_Content_23,ahXC,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,142,AvgDialog,Content,奥尔拉,这是……,She approaches the front of the bus and whispers something into the fare box by the driver's seat.,,,,,,,,,,,
AvgDialog_22127_Content_27,ahXG,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,146,AvgDialog,Content,,马车向前驶去，很快融入在远方的水墨之中。,"I... I'm a bit embarrassed... I'll write it in secret to you after returning, {Male=Keeper Sir,Female=Madam Keeper}.",,,,,,,,,,,
AvgDialog_22127_Content_28,ahXH,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,147,AvgDialog,Content,无纸奥尔拉,这位老夫人人真好。但是感觉有点怪怪的……,"It's your turn, {Male=Sir,Female=Madam}.",,,,,,,,,,,
AvgDialog_22127_Content_36,ahXQ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,155,AvgDialog,Content,朵尔,校方已经在准备派遣增援，但人员的准备需要一段时间。,"The caterpillar opens its eyes, and a bright light shone from them.",,,,,,,,,,,
AvgDialog_22127_Content_38,ahXS,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,157,AvgDialog,Content,,关掉银芯通讯，你警惕地看着周围。,"Turning off the Silver communicator, you vigilantly scan your surroundings.",,,,,,,,,,,
AvgDialog_22127_Content_44,ahXZ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,163,AvgDialog,Content,西岱市民,当当，当当当……,"Ah, my ride is almost here... I'm afraid I can't stay with you any longer.",,,,,,,,,,,
AvgDialog_22127_Content_50,ahYg,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,169,AvgDialog,Content,西岱市民,啊，您好！可爱的%sirormadam%。请问有什么能帮到您的吗？,"Ah, hello, dear {Male=Sir,Female=Madam}! May I ask how I can be of assistance to you?",,,,,,,,,,,
AvgDialog_22127_Content_53,ahYj,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,172,AvgDialog,Content,西岱市民,怎么了，%sirormadam%？是不是我的哪句话说得不太得体，让您不舒服了？,"What's wrong, {Male=Sir,Female=Madam}? Did I say something inappropriate that made you uncomfortable?",,,,,,,,,,,
AvgDialog_22127_Content_54,ahYk,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,173,AvgDialog,Content,玩家,没……咳，没有。,No... <Italic:cough—> No.,,,,,,,,,,,
AvgDialog_22127_Content_56,ahYm,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,175,AvgDialog,Content,西岱市民,啊，这位%sirormadam%，您是刚到西岱，对吗？,"{Male=Sir,Female=Madam} Keeper, look at this house, does it seem like there are some lines floating on it?",,,,,,,,,,,
AvgDialog_22127_Content_59,ahYp,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,178,AvgDialog,Content,西岱市民,请放心请放心，西岱市民都是非常热情好客的。美第奇大道就在……,Communication ends. The atmosphere becomes heavy.,,,,,,,,,,,
AvgDialog_22127_Content_67,ahYy,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,186,AvgDialog,Content,,你再次仔细查看周围的环境。,"Look, {Male=Sir,Female=Madam} Keeper! A tram!",,,,,,,,,,,
AvgDialog_22127_Content_74,ahYG,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,193,AvgDialog,Content,玩家,！！！,"Ah, hello, dear {Male=Sir,Female=Madam}! May I ask how I can be of assistance to you?",,,,,,,,,,,
AvgDialog_22127_Content_77,ahYJ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,196,AvgDialog,Content,玩家,这里的确也看不到现实世界和密境之间的接口。可如果不是密境，这个地方和这些人为什么会变成这样……不合理……,"What's wrong, {Male=Sir,Female=Madam}? Did I say something inappropriate that made you uncomfortable?",,,,,,,,,,,
AvgDialog_22127_Content_78,ahYK,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,197,AvgDialog,Content,朵尔,这样看来，这个密境恐怕和普通的密境不一样，是一个完全独立的空间。,No... <Italic:cough—> No.,,,,,,,,,,,
AvgDialog_22127_Content_82,ahYP,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,201,AvgDialog,Content,,结束通讯，气氛变得凝重起来。,Communication ends. The atmosphere becomes heavy.,,,,,,,,,,,
AvgDialog_22127_Content_83,ahYQ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,202,AvgDialog,Content,奥尔拉,守密人%sirormadam%……蜜蜂先生，是死了吗？,"{Male=Sir,Female=Madam} Keeper... Mr. Bee, has he passed away?",,,,,,,,,,,
AvgDialog_22127_Content_90,ahYY,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,209,AvgDialog,Content,无纸奥尔拉,您看，守密人%sirormadam%！有轨电车！,"Look, {Male=Sir,Female=Madam} Keeper! A tram!",,,,,,,,,,,
AvgDialog_22127_Content_92,ahZa,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,211,AvgDialog,Content,玩家,有电车，但是没有找到站牌，不知道能不能到我们想去的地方。,"There are trams, but we didn't see the stop, so we're not sure if they go where we want to go.",,,,,,,,,,,
AvgDialog_22127_Content_93,ahZb,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,212,AvgDialog,Content,无纸奥尔拉,我和您讲过吗？从以前那座花园的栅栏往外看，能看到有轨电车经过，不过我从来没有真正坐过。,"Have I told you? From the fence of the old garden, you could see the tram passing by, but I've never actually rode one.",,,,,,,,,,,
AvgDialog_22127_Content_94,ahZc,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,213,AvgDialog,Content,无纸奥尔拉,我好想坐一次。我觉得，它可以载我去任何地方。,"I believe I recall it can go anywhere. Regardless, I still would like to board it, at least just once.",,,,,,,,,,,
AvgDialog_22127_Content_95,ahZd,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,214,AvgDialog,Content,无纸奥尔拉,每次看到那台电车，我都觉得它像一只巨大的……,"Thank you, {Male=Sir,Female=Madam} Keeper!",,,,,,,,,,,
AvgDialog_22127_Content_98,ahZg,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,217,AvgDialog,Content,,在蜿蜒的轨道上，一只巨大的毛毛虫停在你们面前。,"On the winding tracks, a giant caterpillar stops in front of you.",,,,,,,,,,,
AvgDialog_22127_Content_99,ahZh,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,218,AvgDialog,Content,无纸奥尔拉,啊！和我想的一样！是毛毛虫电车！,Ah! Just as I remember! It's the Caterpillar Train!,,,,,,,,,,,
AvgDialog_22127_Content_101,ahWK,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,220,AvgDialog,Content,,你警惕地注视着它。毛毛虫电车看上去似乎没有敌意。,You watch it warily. The Caterpillar Train seems friendly enough...,,,,,,,,,,,
AvgDialog_22127_Content_102,ahWL,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,221,AvgDialog,Content,玩家,请问，这辆车能到美第奇大道吗？,"Excuse me, does this train go to Medici Avenue?",,,,,,,,,,,
AvgDialog_22127_Content_104,ahWN,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,223,AvgDialog,Content,玩家,可以去任何地方的轨道车，是吗……的确，很合理。,"A railcar that can go anywhere, huh... Sure, that makes sense.",,,,,,,,,,,
AvgDialog_22127_Content_107,ahWQ,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,226,AvgDialog,Content,,看着奥尔拉期待的眼神，你们坐了上去。,"Huff... Huff... {Male=Sir,Female=Madam} Keeper, there are too many monsters to handle...",,,,,,,,,,,
AvgDialog_22127_Content_116,ahXa,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,235,AvgDialog,Content,无纸奥尔拉,不过也不贵的，每人写一句很简单的就可以了。,It's not costly; each rider just needs to write a simple sentence.,,,,,,,,,,,
AvgDialog_22127_Content_118,ahXc,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,237,AvgDialog,Content,,她来到车头，对着司机位上的售票箱悄悄说了一句话。,She approaches the front of the bus and whispers something into the fare box by the driver's seat.,,,,,,,,,,,
AvgDialog_22127_Content_121,ahXg,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,240,AvgDialog,Content,无纸奥尔拉,我……不太好意思……等我回去以后悄悄写给您吧，守密人%sirormadam%。,"I... I'm a bit embarrassed... I'll write it in secret to you after returning, {Male=Keeper Sir,Female=Madam Keeper}.",,,,,,,,,,,
AvgDialog_22127_Content_122,ahXh,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,241,AvgDialog,Content,毛毛虫,该您了，这位%sirormadam%。,"It's your turn, {Male=Sir,Female=Madam}.",,,,,,,,,,,
AvgDialog_22127_Content_130,ahXq,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,249,AvgDialog,Content,,毛毛虫睁开眼，明晃晃的灯光从它眼中照出。,"The caterpillar opens its eyes, and a bright light shone from them.",,,,,,,,,,,
AvgDialog_22125_Content_4,ahVc,avgV1.5奥尔拉大型支线_AvgDialog_C_M.csv,254,AvgDialog,Content,玩家,进步挺大，能和陌生人说话了。,"Speaking to strangers? You've made great progress already, Horla!",,,,,,,,,,,
